pond_code,species,prey_no,scaled.breadth,invasion
ZJJ_site157,Fejervarya_multistriata,20,0.38235294117647056,Y
ZJJ_site157,Pelophylax_nigromaculatus,11,0.2780748663101603,Y
ZJJ_site163,Fejervarya_multistriata,17,0.20716112531969313,N
ZJJ_site163,Microhyla_fissipes,13,0.19350215002388915,N
ZJJ_site159,Fejervarya_multistriata,20,0.5227272727272727,Y
ZJJ_site159,Microhyla_fissipes,8,0.26136363636363635,Y
CZ_site005,Fejervarya_multistriata,11,0.3181818181818182,N
CZ_site005,Rana_zhenhaiensis,5,0.2333333333333333,N
DS_site018,Bufo_gargarizans,8,0.1479591836734694,Y
DS_site018,Fejervarya_multistriata,23,0.18012422360248445,Y
FD_site047,Fejervarya_multistriata,25,0.3240363944837312,Y
FD_site047,Microhyla_fissipes,5,0.15784653067998475,Y
FD_site047,Pelophylax_nigromaculatus,5,0.1620814769874704,Y
FD_site049,Fejervarya_multistriata,12,0.25651569879677283,N
FD_site049,Microhyla_fissipes,3,3.118155041989277e-17,N
FD_site049,Pelophylax_nigromaculatus,3,0.10260627951870906,N
FD_site053,Fejervarya_multistriata,10,0.20948812544977535,Y
FD_site053,Pelophylax_nigromaculatus,13,0.300214506,Y
FD_site053,Pelophylax_plancyi,10,0.1801005874002694,Y
LH_site068,Fejervarya_multistriata,13,0.26807779874864807,Y
LH_site068,Lithobates_catesbeianus,10,0.18115187287699397,Y
LH_site068,Microhyla_fissipes,12,0.23602776866061326,Y
LH_site073,Fejervarya_multistriata,10,0.1696969696969697,Y
LH_site073,Pelophylax_nigromaculatus,13,0.17948717948717952,Y
LH_site076,Fejervarya_multistriata,18,0.4134099186492423,Y
LH_site076,Lithobates_catesbeianus,13,0.29531397120908337,Y
LH_site076,Microhyla_fissipes,6,0.13919782455260798,Y
LH_site067,Fejervarya_multistriata,9,0.094011614,Y
LH_site067,Microhyla_fissipes,8,0.092542682,Y
LH_site067,Pelophylax_plancyi,3,0.10152305009495505,Y
LH_site074,Fejervarya_multistriata,15,0.23657670959565746,Y
LH_site074,Lithobates_catesbeianus,4,0.037059665455264526,Y
LH_site074,Pelophylax_nigromaculatus,14,0.21844124233187223,Y
LH_site074,Pelophylax_plancyi,17,0.2492878988937043,Y
MY_site080,Fejervarya_multistriata,9,0.25925925925925924,N
MY_site080,Pelophylax_nigromaculatus,7,0.23809523809523805,N
QS_site102,Bufo_gargarizans,4,0.22222222222222224,N
QS_site102,Fejervarya_multistriata,14,0.38095238095238093,N
QS_site099,Bufo_gargarizans,8,0.24074074074074062,N
QS_site099,Fejervarya_multistriata,22,0.393939394,N
QS_site100,Bufo_gargarizans,9,0.24242424242424254,Y
QS_site100,Fejervarya_multistriata,14,0.2857142857142857,Y
TH_site111,Fejervarya_multistriata,11,0.16787833618665313,N
TH_site111,Pelophylax_nigromaculatus,5,0.1477329358442548,N
TH_site111,Pelophylax_plancyi,2,0.092333085,N
TH_site108,Fejervarya_multistriata,79,0.2622061482820975,Y
TH_site108,Pelophylax_nigromaculatus,13,0.17226017226017237,Y
XCT_site126,Bufo_gargarizans,10,0.15552447655254897,Y
XCT_site126,Fejervarya_multistriata,32,0.5142624983459556,Y
XCT_site126,Lithobates_catesbeianus,7,0.11355786702357173,Y
XCT_site126,Microhyla_fissipes,18,0.28361508140315855,Y
XCT_site126,Pelophylax_plancyi,14,0.1954531533700572,Y
XS_site128,Fejervarya_multistriata,16,0.3323543112798706,Y
XS_site128,Lithobates_catesbeianus,14,0.3133851661042523,Y
XS_site128,Microhyla_fissipes,17,0.36801516061763856,Y
XZ_site124,Fejervarya_multistriata,27,0.26063100137174205,N
XZ_site124,Microhyla_fissipes,16,0.21990740740740747,N
XZ_site120,Fejervarya_multistriata,40,0.3652173913043481,N
XZ_site120,Microhyla_fissipes,15,0.23610013175230538,N
XZ_site122,Fejervarya_multistriata,27,0.17874396135265694,N
XZ_site122,Microhyla_fissipes,13,0.15468227424749165,N
XZ_site121,Fejervarya_multistriata,32,0.25436046511627913,Y
XZ_site121,Microhyla_fissipes,25,0.23441860465116277,Y
XZ_site119,Fejervarya_multistriata,39,0.2728423826681258,Y
XZ_site119,Lithobates_catesbeianus,44,0.2976711101158827,Y
XZ_site119,Pelophylax_nigromaculatus,14,0.12199228512554848,Y
DS_site016,Fejervarya_multistriata,14,0.47657943329530866,Y
DS_site016,Lithobates_catesbeianus,11,0.40014911247295304,Y
DS_site016,Microhyla_fissipes,5,0.076422585,Y
DS_site022,Fejervarya_multistriata,13,0.4108068082715628,Y
DS_site022,Microhyla_fissipes,10,0.30837861605147404,Y
DS_site022,Rana_zhenhaiensis,13,0.41113460637774146,Y
DS_site020,Bufo_gargarizans,18,0.3963197993880891,Y
DS_site020,Fejervarya_multistriata,23,0.44770854214113953,Y
DS_site020,Hylarana_latouchii,7,0.13493680639593336,Y
DS_site020,Microhyla_fissipes,5,0.050527662449404404,Y
DS_site033,Bufo_gargarizans,13,0.41148809929085334,Y
DS_site033,Fejervarya_multistriata,15,0.49310145962167135,Y
DS_site033,Pelophylax_nigromaculatus,9,0.2571025043887423,Y
DS_site033,Rana_zhenhaiensis,6,0.10721704519080211,Y
DS_site029,Bufo_gargarizans,5,0.19189820556276901,Y
DS_site029,Fejervarya_multistriata,6,0.2499426976703075,Y
DS_site029,Lithobates_catesbeianus,16,0.6970909317992087,Y
DS_site029,Rana_zhenhaiensis,3,1.7771571526519306e-16,Y
DS_site021,Bufo_gargarizans,17,0.6324414207394142,Y
DS_site021,Fejervarya_multistriata,10,0.33087456036201524,Y
DS_site021,Lithobates_catesbeianus,8,0.2330780700238127,Y
DS_site032,Bufo_gargarizans,9,0.23698490317764473,Y
DS_site032,Fejervarya_multistriata,22,0.4866801560403875,Y
DS_site032,Lithobates_catesbeianus,4,0.089912744,Y
DS_site032,Microhyla_fissipes,6,0.13498974994607693,Y
DS_site032,Rana_zhenhaiensis,4,0.10528736227407202,Y
DS_site037,Bufo_gargarizans,7,0.2660635970315961,N
DS_site037,Fejervarya_multistriata,9,0.34529356076351303,N
DS_site037,Rana_zhenhaiensis,9,0.3358439140440972,N
DS_site019,Bufo_gargarizans,4,0.22500000000000003,Y
DS_site019,Fejervarya_multistriata,11,0.6545454545454544,Y
DS_site031,Bufo_gargarizans,11,0.44944509391465487,Y
DS_site031,Fejervarya_multistriata,15,0.5959254503331499,Y
DS_site031,Lithobates_catesbeianus(juv),3,NA,Y
DS_site024,Bufo_gargarizans,5,0.26440709544161367,N
DS_site024,Fejervarya_multistriata,11,0.5720924000631522,N
DS_site024,Microhyla_fissipes,6,0.22614649965671288,N
ZJJ_site165,Bufo_gargarizans,20,0.41927337596424624,N
ZJJ_site165,Fejervarya_multistriata,15,0.3374249828249242,N
ZJJ_site165,Hylarana_latouchii,8,0.18839878630521215,N
ZJJ_site165,Microhyla_fissipes,5,0.078596387,N
XS_site129,Bufo_gargarizans,3,1.5728159515523047e-16,N
XS_site129,Fejervarya_multistriata,17,1,N
XS_site130,Fejervarya_multistriata,15,0.39999999999999997,Y
XS_site130,Microhyla_fissipes,6,0.25,Y
ZSM_site151,Bufo_gargarizans,14,NA,N
ZSM_site151,Fejervarya_multistriata,16,NA,N
ZSM_site151,Microhyla_fissipes,23,NA,N
ZSM_site144,Fejervarya_multistriata,3,NA,Y
ZSM_site144,Lithobates_catesbeianus,4,NA,Y
ZSM_site144,Polypedates_megacephalus,2,NA,Y
ZSM_site144,Rana_zhenhaiensis,3,NA,Y
ZSM_site149,Fejervarya_multistriata,9,NA,Y
ZSM_site149,Lithobates_catesbeianus,5,NA,Y
ZSM_site149,Pelophylax_nigromaculatus,3,NA,Y
ZSM_site149,Polypedates_megacephalus,4,NA,Y
ZSM_site150,Bufo_gargarizans,7,NA,Y
ZSM_site150,Fejervarya_multistriata,5,NA,Y
ZSM_site150,Polypedates_megacephalus,1,NA,Y
ZJJ_site164,Bufo_gargarizans,8,0.263024863,N
ZJJ_site164,Fejervarya_multistriata,9,0.30315689276073865,N
ZJJ_site164,Hyla_chinensis,9,0.2659112163800555,N
ZJJ_site164,Pelophylax_nigromaculatus,4,0.12857747565549443,N
ZJJ_site164,Rana_zhenhaiensis,4,0.13921766572878538,N
LH_site069,Fejervarya_multistriata,5,0.3966573379919777,Y
LH_site069,Microhyla_fissipes,7,0.6111907835010567,Y
LH_site069,Rana_zhenhaiensis,2,0.094021027,Y
LH_site071,Fejervarya_multistriata,8,0.37443564790097633,Y
LH_site071,Lithobates_catesbeianus,4,0.16302444301688987,Y
LH_site071,Pelophylax_nigromaculatus,8,0.345077472,Y
LH_site063,Microhyla_fissipes,7,0.5714285714285714,N
LH_site063,Rana_zhenhaiensis,3,0.2666666666666666,N
YS_site137,Fejervarya_multistriata,5,4.0708177569589076e-17,N
YS_site137,Rana_zhenhaiensis,6,9.159339953157542e-17,N
XZ_site118,Fejervarya_multistriata,3,3.238150488490041e-17,N
XZ_site118,Pelophylax_nigromaculatus,4,0,N
XCT_site127,Bufo_gargarizans,10,0.590909091,N
XCT_site127,Rana_zhenhaiensis,8,0.4431818181818181,N
QS_site097,Bufo_gargarizans,6,0.0985404,N
QS_site097,Fejervarya_multistriata,12,0.6646631183358399,N
QS_site097,Rana_zhenhaiensis,10,0.5165681279116844,N
QS_site101,Bufo_gargarizans,14,0.420826558,N
QS_site101,Fejervarya_multistriata,6,0.25820838767807963,N
QS_site101,Rana_zhenhaiensis,4,0.17234605849762522,N
DYS_site014,Bufo_gargarizans,3,2.220446049250312e-16,N
DYS_site014,Fejervarya_multistriata,9,1,N
JP_site056,Bufo_gargarizans,5,0.20285052642378146,N
JP_site056,Fejervarya_multistriata,9,0.4350135329174367,N
JP_site056,Rana_zhenhaiensis,5,0.2633040622596731,N
SJ_site106,Bufo_gargarizans,6,1,N
SJ_site106,Fejervarya_multistriata,2,0,N
ZJJ_site167,Bufo_gargarizans,12,0.4071428571428572,N
ZJJ_site167,Fejervarya_multistriata,16,0.7125,N
SS_site103,Bufo_gargarizans,8,0.085784314,N
SS_site103,Fejervarya_multistriata,18,0.092592593,N
SS_site104,Bufo_gargarizans,29,0.2996091684006201,N
SS_site104,Fejervarya_multistriata,9,0.12701014982277722,N
SS_site104,Rana_zhenhaiensis,5,0.073538687,N
GQ_site054,Bufo_gargarizans,13,0.35244755244755244,N
GQ_site054,Fejervarya_multistriata,17,0.42352941176470593,N
LJZ_site077,Bufo_gargarizans,11,0.14490456136543936,N
LJZ_site077,Fejervarya_multistriata,29,0.31566723472237207,N
LJZ_site077,Pelophylax_plancyi,13,0.14784769494475955,N
JT_site060,Bufo_gargarizans,17,0.15376412428839714,N
JT_site060,Fejervarya_multistriata,6,0.079902147,N
JT_site060,Pelophylax_nigromaculatus,2,0.028153673,N
JT_site060,Pelophylax_plancyi,14,0.14553027958221848,N
JT_site060,Rana_zhenhaiensis,13,0.18715775588396608,N
JT_site058,Bufo_gargarizans,4,0.075528094,N
JT_site058,Fejervarya_multistriata,15,0.18433781117143078,N
JT_site058,Pelophylax_nigromaculatus,5,0.076165235,N
JT_site058,Rana_zhenhaiensis,24,0.21863646087315777,N
CZ_site142,Bufo_gargarizans,10,0.12340308230195367,N
CZ_site142,Fejervarya_multistriata,18,0.20877073505601074,N
CZ_site142,Pelophylax_nigromaculatus,13,0.1164737559679428,N
CZ_site142,Rana_zhenhaiensis,9,0.11735622546889306,N
